Iteracao	Valor 1	Valor 2	Valor 3	Valor 4	Valor 5	Valor 6	Valor 7	Valor 8	Valor 9	Valor 10	Valor 11	Valor 12	Valor 13	Valor 14	Custo
0	58	11	182	32	101	177	107	68	14	17	163	166	164	178	7
1	58	11	182	32	101	177	107	68	14	17	163	166	134	178	6
2	58	11	182	32	101	177	107	10	14	17	163	166	134	178	7
3	58	11	182	32	101	177	107	10	14	17	66	166	134	178	7
4	132	11	182	32	101	177	107	10	14	17	66	166	134	178	7
5	132	11	171	32	101	177	107	10	14	17	66	166	134	178	6
6	132	11	171	32	101	177	107	10	14	17	66	173	134	178	5
7	132	11	171	32	101	57	107	10	14	17	66	173	134	178	6
8	132	11	171	32	101	57	107	10	14	17	95	173	134	178	6
9	132	11	171	32	101	57	107	67	14	17	95	173	134	178	6
10	132	11	171	32	101	57	107	67	14	43	95	173	134	178	5
11	102	11	171	32	101	57	107	67	14	43	95	173	134	178	6
12	102	11	171	32	101	57	107	67	14	199	95	173	134	178	5
13	102	11	171	32	101	57	107	67	14	199	95	173	36	178	4
14	102	11	171	32	101	188	107	67	14	199	95	173	36	178	5
15	102	111	171	32	101	188	107	67	14	199	95	173	36	178	4
16	102	111	171	32	101	188	107	67	14	199	95	173	36	153	4
17	102	111	171	32	101	188	107	67	14	182	95	173	36	153	3
18	102	111	171	32	101	188	75	67	14	182	95	173	36	153	1
19	102	123	171	32	101	188	75	67	14	182	95	173	36	153	2
20	102	123	171	32	101	188	75	67	14	182	106	173	36	153	3
21	102	123	171	32	101	188	75	67	14	48	106	173	36	153	3
22	102	123	171	181	101	188	75	67	14	48	106	173	36	153	3
23	102	123	171	126	101	188	75	67	14	48	106	173	36	153	4
24	102	63	171	126	101	188	75	67	14	48	106	173	36	153	4
25	102	63	171	126	101	167	75	67	14	48	106	173	36	153	4
26	102	63	171	126	101	167	192	67	14	48	106	173	36	153	3
27	102	63	171	126	92	167	192	67	14	48	106	173	36	153	2
28	102	63	171	126	92	167	192	67	132	48	106	173	36	153	3
