
Iteracao	Valor 1	Valor 2	Valor 3	Valor 4	Valor 5	Valor 6	Valor 7	Valor 8	Custo
0	3	28	10	4	13	5	15	17	6
1	2	23	15	28	21	2	10	26	9
2	2	23	15	28	21	2	10	26	9
3	25	14	23	11	27	18	5	8	13
4	25	14	23	11	27	18	5	8	13
5	25	14	23	11	27	18	5	8	13
6	25	14	23	11	27	18	5	8	13
7	25	14	23	11	27	18	5	8	13
8	25	14	23	11	27	18	5	8	13
9	25	14	23	11	27	18	5	8	13
10	25	14	23	11	27	18	5	8	13
11	24	16	11	25	15	6	5	21	14
12	24	16	11	25	15	6	5	21	14
13	24	16	11	25	15	6	5	21	14
14	24	16	11	25	15	6	5	21	14
15	24	16	11	25	15	6	5	21	14
16	24	16	11	25	15	6	5	21	14
17	24	16	11	25	15	6	5	21	14
18	24	16	11	25	15	6	5	21	14
19	24	16	11	25	15	6	5	21	14
20	24	16	11	25	15	6	5	21	14

Iteracao	Valor 1	Valor 2	Valor 3	Valor 4	Valor 5	Valor 6	Valor 7	Valor 8	Custo
0	14	24	22	1	11	12	18	13	7
1	14	24	16	1	11	12	18	13	7
2	14	24	17	1	11	12	18	13	12
3	25	24	17	1	11	12	18	13	9
4	25	24	17	1	11	12	18	13	15
5	25	24	17	1	11	12	7	13	14
6	25	24	17	1	11	12	7	13	12
7	25	24	17	1	11	12	7	13	16
8	25	24	17	26	11	12	7	13	15
9	25	24	17	26	11	12	7	13	16
10	25	20	17	26	11	12	7	13	16
11	25	20	17	26	14	12	7	13	11
12	25	20	17	26	14	12	7	13	14
13	25	20	17	26	14	12	7	13	13
14	25	20	17	26	14	12	7	13	18
15	25	20	17	26	14	12	7	2	14
16	25	20	17	26	14	12	7	2	17
17	25	20	17	26	14	12	7	2	18
18	25	20	17	26	14	12	9	2	16
19	25	20	17	26	14	12	9	2	15
20	25	20	17	26	14	12	9	2	18
21	25	20	17	26	14	12	11	2	16
22	25	20	17	26	14	12	11	2	16
23	25	20	17	26	14	12	11	2	17
24	25	20	17	26	14	12	11	2	17
25	25	20	17	26	14	12	11	2	15
26	25	20	17	26	14	12	11	2	12
27	25	20	17	26	14	12	11	2	16
28	25	20	17	26	14	12	11	2	15
29	25	20	17	26	14	12	11	2	17
30	25	20	17	26	14	12	11	2	15
31	25	20	17	26	14	12	11	2	17
32	25	20	17	26	14	12	11	2	18
33	25	20	17	26	19	12	11	2	17
34	25	20	17	26	19	12	11	2	15
35	25	20	17	26	19	12	11	2	15
36	25	20	17	26	19	12	11	2	17
37	25	20	17	26	19	12	11	2	13
38	25	20	17	26	19	12	11	2	15
39	25	20	17	26	19	12	11	2	17
40	25	20	17	26	19	12	11	2	15
41	25	20	17	26	19	12	11	2	16
42	25	20	17	26	19	12	11	2	13
43	25	20	17	26	19	12	11	2	16
44	25	20	17	26	19	12	11	2	17
45	25	20	17	26	19	12	11	2	18
46	25	24	17	26	19	12	11	2	16
47	25	24	17	26	19	12	11	2	16
48	25	24	17	26	19	12	11	2	15
49	25	24	17	26	19	12	11	2	17
50	25	24	17	26	19	12	11	2	16
51	25	24	17	26	19	12	11	2	17
52	25	24	17	26	19	12	11	2	13
53	25	24	17	26	19	12	11	2	18
54	25	24	17	26	19	15	11	2	15
55	25	24	17	26	19	15	11	2	14
56	25	24	17	26	19	15	11	2	18
57	25	24	17	26	19	12	11	2	17
58	25	24	17	26	19	12	11	2	16
59	25	24	17	26	19	12	11	2	14
60	25	24	17	26	19	12	11	2	14
61	25	24	17	26	19	12	11	2	17
62	25	24	17	26	19	12	11	2	17
63	25	24	17	26	19	12	11	2	16
64	25	24	17	26	19	12	11	2	15
65	25	24	17	26	19	12	11	2	16
66	25	24	17	26	19	12	11	2	17
67	25	24	17	26	19	12	11	2	16
68	25	24	17	26	19	12	11	2	17
69	25	24	17	26	19	12	11	2	15
